sw krw krn krwf krnf vw vn force pw pn wet peff
0.26588193 0.50235378 20.306638 0.32239402 14.419777 1.3065013e-05 0.00052812678 6.1482385e-06 0.32476616 0.33640716 1438368.7 0.048056149
0.26587174 0.37570763 20.463912 0.22594876 14.554551 9.7712513e-06 0.0005322171 6.1482385e-06 0.32477457 0.33640648 1437951.2 0.047985521
0.26584056 0.37669499 20.560476 0.22841512 14.638487 9.7969302e-06 0.0005347285 6.1482385e-06 0.32478293 0.33640523 1437683.4 0.047761945
0.26583299 0.3140036 20.372074 0.16753228 14.51523 8.1664779e-06 0.00052982863 6.1482385e-06 0.3247764 0.33640727 1437459.4 0.048341692
0.26580011 0.34220335 20.551345 0.18706496 14.631125 8.8998855e-06 0.00053449102 6.1482385e-06 0.32476793 0.33641052 1437090.2 0.047861665
0.26579425 0.39685648 20.680504 0.23943317 14.732667 1.0321282e-05 0.00053785014 6.1482385e-06 0.32477798 0.33640906 1436907.4 0.047444271
0.26579208 0.39693741 20.694952 0.23865877 14.753028 1.0323387e-05 0.0005382259 6.1482385e-06 0.32478229 0.33640875 1436753.1 0.04741159
0.26578514 0.27014612 20.65289 0.12064726 14.724991 7.0258504e-06 0.00053713198 6.1482385e-06 0.32477954 0.33640988 1436570.3 0.04779421
0.26576939 0.25907169 20.587058 0.12202634 14.672701 6.7378312e-06 0.00053541983 6.1482385e-06 0.32477858 0.33641077 1436378.5 0.047970536
0.26575627 0.16363903 20.443508 0.040596919 14.578369 4.2558573e-06 0.00053168644 6.1482385e-06 0.32477278 0.33641259 1436181.3 0.048526854
0.26575534 0.070089733 20.343708 -0.056075125 14.540575 1.8228653e-06 0.00052909089 6.1482385e-06 0.32476541 0.33641466 1436112.8 0.048986475
0.26576538 -0.092598396 20.320421 -0.20942555 14.536769 -2.4082615e-06 0.00052848526 6.1482385e-06 0.32475313 0.33641827 1436002.9 0.049436858
0.26576106 0.2596349 20.538231 0.11095638 14.684611 6.7524791e-06 0.00053414997 6.1482385e-06 0.32475864 0.33641844 1435843.6 0.048081856
0.26576121 0.35431613 20.680175 0.19982719 14.793159 9.2149098e-06 0.00053784159 6.1482385e-06 0.3247594 0.33641858 1435646.1 0.047540964
0.26575982 0.34531316 20.73326 0.19792906 14.842149 8.9807644e-06 0.00053922221 6.1482385e-06 0.32476337 0.33641802 1435557 0.04744154
0.26575997 0.33974328 20.756878 0.19335409 14.861628 8.8359053e-06 0.00053983646 6.1482385e-06 0.32476656 0.33641764 1435483.1 0.047400955
0.27219916 0.62308497 20.607571 0.40769314 14.970751 1.8865827e-05 0.00062395804 7.1577928e-06 0.32502208 0.33642404 1424659.9 0.047101701
0.27917078 0.64066876 20.219667 0.40582071 14.718361 1.9398231e-05 0.00061221305 7.1577928e-06 0.32527436 0.33643718 1412512.4 0.047937867
0.28619968 0.61921757 19.785741 0.37851334 14.392402 1.874873e-05 0.0005990746 7.1577928e-06 0.32552703 0.33645023 1399816 0.049007696
0.29341598 0.62307305 19.247218 0.36623323 13.9925 1.8865467e-05 0.00058276913 7.1577928e-06 0.32573413 0.33647635 1386424.6 0.05032639
0.30064941 0.70374028 18.841871 0.39531022 13.618309 2.1307917e-05 0.000570496 7.1577928e-06 0.32591774 0.33650978 1372428.7 0.051162382
0.3079162 1.2438433 19.06134 0.82367611 13.81842 3.7661209e-05 0.00057714112 7.1577928e-06 0.32607544 0.3365481 1357965.4 0.049248508
0.31518946 1.3674431 19.319603 0.88891544 14.015371 4.1403576e-05 0.00058496084 7.1577928e-06 0.32622284 0.33658902 1343430.6 0.048339428
0.32243957 0.80450756 17.779459 0.37289302 12.866381 2.4358958e-05 0.0005383282 7.1577928e-06 0.32633857 0.33664166 1328660.9 0.053809825
0.32462502 0.55880043 17.497366 0.14003968 12.617515 1.6919414e-05 0.00052978694 7.1577928e-06 0.32628419 0.33670147 1321485.9 0.055382743
0.32401232 0.38914713 17.833157 0.074002003 12.904424 1.1782635e-05 0.00053995408 7.1577928e-06 0.32616813 0.33674147 1320677.6 0.054877801
0.32372765 0.78891407 18.164899 0.46867881 13.145236 2.3886817e-05 0.0005499986 7.1577928e-06 0.32611483 0.33676236 1319822.5 0.052759831
0.32351848 0.89354715 17.973015 0.57746992 13.006585 2.7054908e-05 0.00054418871 7.1577928e-06 0.32605937 0.33678238 1318836.6 0.053003826
0.32335608 0.96031768 18.196898 0.65181951 13.182762 2.9076592e-05 0.00055096746 7.1577928e-06 0.32603098 0.33679389 1318502.4 0.052199652
0.32327719 0.90139423 17.682609 0.61706441 12.824049 2.7292502e-05 0.00053539575 7.1577928e-06 0.32600456 0.33680562 1318241.7 0.05380972
0.32320526 0.62868692 17.641821 0.39749955 12.819014 1.9035444e-05 0.00053416078 7.1577928e-06 0.32599803 0.33681056 1317826.2 0.054733016
0.32313826 0.42262648 17.483122 0.25615742 12.688554 1.2796326e-05 0.00052935566 7.1577928e-06 0.32598068 0.33681883 1317328.4 0.055847988
0.32307064 0.40136822 17.833827 0.23173292 12.936175 1.2152666e-05 0.00053997436 7.1577928e-06 0.32596138 0.3368278 1316764.5 0.054839006
0.32302588 0.38728173 17.761218 0.19265863 12.856396 1.1726154e-05 0.00053777588 7.1577928e-06 0.32593267 0.33683891 1316226.9 0.055100975
0.32296968 0.29217145 17.969277 0.13657269 13.041962 8.8463957e-06 0.00054407552 7.1577928e-06 0.32593988 0.33683787 1315851.7 0.054760169
0.32293325 0.34215495 18.062363 0.19546354 13.124878 1.0359801e-05 0.000546894 7.1577928e-06 0.32594562 0.33683706 1315596.8 0.054334484
0.32290191 0.37706439 17.989002 0.24476923 13.080653 1.1416792e-05 0.00054467277 7.1577928e-06 0.32593996 0.33684011 1315344.9 0.05444824
0.32287413 0.46300712 18.185665 0.2919084 13.242869 1.4018975e-05 0.00055062735 7.1577928e-06 0.32593455 0.33684297 1315042.4 0.05362312
0.32284742 0.47306165 18.223003 0.30365314 13.264538 1.4323407e-05 0.00055175787 7.1577928e-06 0.32593833 0.33684243 1314818.5 0.053487191
0.32281253 0.42679254 18.199366 0.26483429 13.245842 1.2922466e-05 0.00055104219 7.1577928e-06 0.32594177 0.33684196 1314672.9 0.053687935
0.32281948 0.45715651 18.306804 0.29740422 13.340402 1.3841829e-05 0.00055429521 7.1577928e-06 0.3259418 0.3368428 1314506 0.053293652
0.32280836 0.46211638 18.240262 0.31042289 13.297944 1.3992005e-05 0.00055228044 7.1577928e-06 0.32594072 0.33684376 1314336.9 0.053469135
0.32279416 0.45970479 18.267998 0.31337953 13.320955 1.3918987e-05 0.00055312021 7.1577928e-06 0.32593776 0.33684547 1314139.4 0.053396833
0.32278644 0.50324905 18.301072 0.35463746 13.346015 1.5237424e-05 0.00055412166 7.1577928e-06 0.32593223 0.33684804 1313907.5 0.053179265
0.32276329 0.39858585 18.172408 0.26227689 13.267666 1.2068421e-05 0.00055022594 7.1577928e-06 0.32593275 0.33684819 1313760.5 0.053847415
0.32275372 0.40083313 18.155184 0.2689643 13.264316 1.2136465e-05 0.00054970445 7.1577928e-06 0.32593203 0.3368488 1313659 0.053890874
